Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
8302734,"Before They Are Hanged (The First Law, #2)",Joe Abercrombie,"Abercrombie, Joe",,"=""""","=""""",4,4.31,Gollancz,Kindle Edition,544,2009,2007,2017/12/04,2017/10/22,,,read,,,,1,,,0,,,,,
18656030,"Cibola Burn (The Expanse, #4)",James S.A. Corey,"Corey, James S.A.",,"=""""","=""""",4,4.20,Orbit,Hardcover,581,2014,2014,2017/10/02,2017/09/09,,,read,,,,1,,,0,,,,,
944073,"The Blade Itself (The First Law, #1)",Joe Abercrombie,"Abercrombie, Joe",,"=""0575079797""","=""9780575079793""",4,4.18,Gollancz,Paperback,515,2007,2006,2017/09/09,2017/08/08,,,read,,,,1,,,0,,,,,
260025,"Test of the Twins (Dragonlance: Legends, #3)",Margaret Weis,"Weis, Margaret",Tracy Hickman,"=""0786933887""","=""9780786933884""",4,4.19,Wizards of the Coast,Hardcover,320,2004,1986,2017/06/14,2017/05/27,,,read,,,,1,,,0,,,,,
18302455,The Circle,Dave Eggers,"Eggers, Dave",,"=""""","=""""",5,3.43,Knopf,Hardcover,493,2013,2013,2017/05/26,2017/05/06,,,read,,,,1,,,0,,,,,
23164927,"The Fold (Threshold, #2)",Peter Clines,"Clines, Peter",,"=""0553418297""","=""9780553418293""",4,3.87,Crown,Hardcover,384,2015,2015,2017/05/06,2017/04/17,,,read,,,,1,,,0,,,,,
93768,"War of the Twins (Dragonlance: Legends, #2)",Margaret Weis,"Weis, Margaret",Tracy Hickman,"=""0786932171""","=""9780786932177""",3,4.14,Wizards of the Coast,Hardcover,411,2004,1986,2016/10/22,2016/08/30,,,read,,,,1,,,0,,,,,
12591698,"Caliban's War (The Expanse, #2)",James S.A. Corey,"Corey, James S.A.",,"=""1841499900""","=""9781841499901""",4,4.36,Orbit,Paperback,595,2012,2012,2016/08/30,2016/07/21,,,read,,,,1,,,0,,,,,
29187,"Time of the Twins (Dragonlance: Legends, #1)",Margaret Weis,"Weis, Margaret",Tracy Hickman,"=""0786931582""","=""9780786931583""",3,4.16,Wizards of the Coast,Kindle Edition,389,2004,1986,2016/07/21,2016/06/15,,,read,,,,1,,,0,,,,,
45244,"Judas Unchained (Commonwealth Saga, #2)",Peter F. Hamilton,"Hamilton, Peter F.",Marta García Martínez,"=""0345461665""","=""9780345461667""",4,4.30,Del Rey Books,Hardcover,827,2006,2005,2016/06/14,2016/03/07,,,read,,,,1,,,0,,,,,
68378,"Dragons of Spring Dawning (Dragonlance: Chronicles, #3)",Margaret Weis,"Weis, Margaret",Tracy Hickman,"=""0786930705""","=""9780786930708""",4,4.11,Wizards of the Coast,Hardcover,352,2003,1985,2015/12/19,2015/11/11,,,read,,,,1,,,0,,,,,
8855321,"Leviathan Wakes (The Expanse, #1)",James S.A. Corey,"Corey, James S.A.",,"=""1841499889""","=""9781841499888""",5,4.27,Orbit,Paperback,561,2011,2011,2015/11/10,2015/10/03,,,read,,,,1,,,0,,,,,
2913377,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,"Rothfuss, Patrick",,"=""0575081406""","=""9780575081406""",4,4.52,Gollancz,Paperback,662,2008,2007,2013/05/11,2013/03/31,,,read,,,,1,,,0,,,,,
603268,"Dragons of Winter Night (Dragonlance: Chronicles, #2)",Margaret Weis,"Weis, Margaret",Tracy Hickman,"=""0786916095""","=""9780786916092""",4,4.12,Wizards of the Coast,Paperback,395,2000,1985,2015/10/03,2015/07/15,,,read,,,,1,,,0,,,,,
184655,"Transfer of Power (Mitch Rapp, #3)",Vince Flynn,"Flynn, Vince",,"=""1416516352""","=""9781416516354""",4,4.32,Pocket Books,Paperback,549,2005,1999,2015/07/15,2015/05/23,,,read,,,,1,,,0,,,,,
259836,"Dragons of Autumn Twilight  (Dragonlance: Chronicles, #1)",Margaret Weis,"Weis, Margaret",Tracy Hickman,"=""0786915749""","=""9780786915743""",3,4.00,Wizards of the Coast,Mass Market Paperback,444,2000,1984,2015/05/23,2015/04/25,,,read,,,,1,,,0,,,,,
20775702,The Martian,Andy Weir,"Weir, Andy",,"=""""","=""""",4,4.40,Ebury Digital,Kindle Edition,369,2014,2011,2015/04/25,2015/04/11,,,read,,,,1,,,0,,,,,
24511643,Darknet,Matthew Mather,"Mather, Matthew",,"=""""","=""""",4,3.96,,Kindle Edition,371,2015,2015,2015/04/12,2015/03/24,,,read,,,,1,,,0,,,,,
28691,"To Green Angel Tower (Memory, Sorrow, and Thorn, #3)",Tad Williams,"Williams, Tad",,"=""0756402980""","=""9780756402983""",4,4.19,DAW,Paperback,1083,2005,1993,2015/03/24,2014/09/30,,,read,"A nice ending to the epic saga...but way too long. It took me almost 4 months to complete and the final of the book was somewhat anticlimactic. Still the journey was never boring and I already start to miss some characters since Tad Williams is a wonderful storyteller. No surprise G.R.R. Martin took this book as an inspiration to his A Song of Ice and Fire, though this series is not so dark and gruesome. All in all I recommended this book to fantasy-lovers, yet some plot points may seem seem a bit clichéd now.",,,1,,,0,,,,,
55030,Cosmos,Carl Sagan,"Sagan, Carl",,"=""0375508325""","=""9780375508325""",5,4.38,Random House,Mass Market Paperback,365,2002,1980,,2015/02/09,,,read,,,,1,,,0,,,,,
8498843,"Stone of Farewell (Memory, Sorrow, and Thorn, #2)",Tad Williams,"Williams, Tad",,"=""""","=""""",4,4.08,DAW,Kindle Edition,771,2005,1990,2014/09/05,2014/07/19,,,read,,,,1,,,0,,,,,
317449,"The Dragonbone Chair (Memory, Sorrow, and Thorn, #1)",Tad Williams,"Williams, Tad",,"=""0886773849""","=""9780886773847""",4,3.95,DAW Fantasy,Mass Market Paperback,783,1989,1988,2014/07/20,2014/05/13,,,read,,,,1,,,0,,,,,
